BOOKING_ID,Name,ORDER_ID,RESERVATION_DATE,Reservation_Time,Arrival_TIME,PEOPLE,REQUIRED_PREPAY,PURPOSE,STATUS_ORDER,TABLE_NUMBER
1,Lauren Madison Garcia,2,01/01/2015,11:45:00 AM,11:57:00 AM,5,FALSE,Dinner with Friends,Ok,8
2,Jonathan Elizabeth Evans,3,01/01/2015,12:00:00 PM,12:12:00 PM,2,FALSE,Sweet Anniversary,Ok,1
3,Sophia Ruby Johnson,5,01/01/2015,12:15:00 PM,12:21:00 PM,1,FALSE,Single Dinner,Ok,2
4,Christopher Anna Martin,6,01/01/2015,12:15:00 PM,12:29:00 PM,2,FALSE,Sweet Anniversary,Ok,3
5,Daniel Marie Sanchez,9,01/01/2015,12:45:00 PM,12:52:00 PM,9,FALSE,Important Date,Ok,10
6,Hannah Aria Lee,10,01/01/2015,1:00:00 PM,1:00:00 PM,2,FALSE,Sweet Anniversary,Ok,1
7,Sophia Gabriel Johnson,13,01/01/2015,1:00:00 PM,1:11:00 PM,1,FALSE,Single Dinner,Ok,2
8,Brandon Andrew Collins,14,01/01/2015,1:00:00 PM,1:14:00 PM,1,FALSE,Single Dinner,Ok,3
9,Justin Daniel Williams,16,01/01/2015,1:30:00 PM,1:34:00 PM,3,FALSE,Dinner with Friends,Ok,4
10,Charlotte Lucas Moore,18,01/01/2015,1:45:00 PM,1:57:00 PM,1,FALSE,Single Dinner,Ok,1
11,Alexander Lucas Rodriguez,19,01/01/2015,1:45:00 PM,1:59:00 PM,2,FALSE,Sweet Anniversary,Ok,2
12,Hailey Sophia Phillips,21,01/01/2015,2:00:00 PM,2:14:00 PM,1,FALSE,Single Dinner,Ok,3
13,Jessica Joshua Phillips,24,01/01/2015,2:15:00 PM,2:23:00 PM,4,FALSE,Dinner with Friends,Ok,6
14,Zachary Sophie Wilson,25,01/01/2015,2:30:00 PM,2:44:00 PM,2,FALSE,Sweet Anniversary,Ok,1
15,Alyssa Nicholas Rodriguez,29,01/01/2015,3:30:00 PM,3:41:00 PM,1,FALSE,Single Dinner,Ok,3
16,Jessica Christopher Carter,31,01/01/2015,3:45:00 PM,3:50:00 PM,2,FALSE,Sweet Anniversary,Ok,1
17,Andrew Gabriel Turner,36,01/01/2015,4:45:00 PM,4:54:00 PM,2,FALSE,Sweet Anniversary,Ok,2
18,David Charlotte Hill,37,01/01/2015,4:45:00 PM,4:56:00 PM,2,FALSE,Sweet Anniversary,Ok,3
19,Samantha Nathan Carter,38,01/01/2015,5:00:00 PM,5:03:00 PM,2,FALSE,Sweet Anniversary,Ok,1
20,Thomas Matthew Mitchell,42,01/01/2015,5:15:00 PM,5:28:00 PM,4,FALSE,Dinner with Friends,Ok,7
21,Alyssa Andrew Rodriguez,44,01/01/2015,5:45:00 PM,5:54:00 PM,1,FALSE,Single Dinner,Ok,3
22,Christopher Ava Harris,45,01/01/2015,5:45:00 PM,5:55:00 PM,3,FALSE,Dinner with Friends,Ok,5
23,Kevin Nathan Hall,46,01/01/2015,6:15:00 PM,6:25:00 PM,3,FALSE,Dinner with Friends,Ok,4
24,James Lucy Hall,48,01/01/2015,6:15:00 PM,6:26:00 PM,4,FALSE,Dinner with Friends,Ok,6
25,Alyssa Grace Evans,47,01/01/2015,6:15:00 PM,6:26:00 PM,2,FALSE,Sweet Anniversary,Ok,1
26,Madison Sophia Turner,52,01/01/2015,6:45:00 PM,6:53:00 PM,3,FALSE,Dinner with Friends,Ok,5
27,Lauren Michael Phillips,53,01/01/2015,6:45:00 PM,6:54:00 PM,2,FALSE,Sweet Anniversary,Ok,2
28,Hailey Ava Campbell,54,01/01/2015,7:00:00 PM,7:01:00 PM,2,FALSE,Sweet Anniversary,Ok,3
29,Samantha Elizabeth Perez,55,01/01/2015,7:00:00 PM,7:03:00 PM,2,FALSE,Sweet Anniversary,Ok,1
30,Eva Benjamin Allen,57,01/01/2015,7:00:00 PM,7:10:00 PM,1,FALSE,Single Dinner,Ok,2
31,Kevin Ethan Baker,59,01/01/2015,7:30:00 PM,7:40:00 PM,3,FALSE,Dinner with Friends,Ok,4
32,Bob Christopher Wilson,62,01/01/2015,8:45:00 PM,8:50:00 PM,2,FALSE,Sweet Anniversary,Ok,3
33,Christopher John Garcia,63,01/01/2015,8:45:00 PM,8:51:00 PM,1,FALSE,Single Dinner,Ok,1
34,Justin Edward Nelson,65,01/01/2015,9:15:00 PM,9:16:00 PM,4,FALSE,Dinner with Friends,Ok,7
35,Sophia William Anderson,66,01/01/2015,9:45:00 PM,9:47:00 PM,2,FALSE,Sweet Anniversary,Ok,2
36,Grace Joseph Turner,67,01/01/2015,10:00:00 PM,10:03:00 PM,1,FALSE,Single Dinner,Ok,3
38,Andrew Grace Green,70,02/01/2015,11:30:00 AM,11:38:00 AM,2,FALSE,Sweet Anniversary,Ok,2
